Combination,Propellant Mass [kg],Inert Mass [kg],Total Mass [kg] (including payload),First Stage Burn Time [sec],Second Stage Burn Time [sec],Maximum Dynamic Pressure (Max Q) [kPa],Delta V [km/s],Payload Mass (kg),Alt [km],Diameter 1,Diameter 2,(L/D),Name of Tester,Evaluation Function,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Normalized Data by max value,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D factor,Weights,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Value,Cost,,,Value,Cost
02040715,42.4060025,9.13990686,56.5459094,10.7161476,9.12092071,427.798247,3.9849,5,400,4,3.5,41.1275917,,,1.416933451,0.5,3.862122236,0.3015773856,0.7503084216,0.723465217,,0.6892553617,0.5,1,0.692903916,0.4442765707,0.7234663571,,,,,,,,0.851,0.593,,,0.892,0.618
02040809,27.6808573,6.04309735,38.7239547,6.66180875,6.37745498,658.220534,3.5003,5,100,4,4,22.12072264,Joe,,0.9313759807,0.5,0.965530559,0.1968570505,1.154442341,0.9859639955,,0.4530600136,0.5,0.25,0.4522985731,0.6835744739,0.9859655492,,,,,,,,0.594,0.545,,,0.483,0.522
02040810,29.694877,6.46875614,41.1636332,7.20726013,6.76422224,614.16703,3.5825,5,125,4,4,23.73019487,Joe,,0.9979630264,0.5,1.206913199,0.2111800888,1.077177614,0.9682226162,,0.4854507221,0.5,0.3125,0.4852071722,0.6378240768,0.968224142,,,,,,,,0.617,0.546,,,0.519,0.531
02040811,31.4500752,6.83907914,43.2891544,7.68536909,7.09779782,578.516676,3.64909621,5,150,4,4,25.13283396,Rishi,,1.055940494,0.5,1.448295839,0.2236624746,1.014651035,0.9497690982,,0.5136533734,0.5,0.375,0.5138866901,0.6008005099,0.9497705949,,,,,,,,0.640,0.549,,,0.554,0.540
02040812,34.4501327,7.47082311,46.9209559,8.50788585,7.66120253,523.659179,3.75349378,5,200,4,4,27.53028282,Rishi,,1.154934884,0.5,1.931061118,0.2449978857,0.9184373588,0.9149174816,,0.5618083623,0.5,0.5,0.5629069105,0.5438299617,0.9149189233,,,,,,,,0.687,0.555,,,0.624,0.557
02040813,37.3341794,8.07683679,50.4110162,9.30423298,8.19565134,476.400234,3.8442,5,250,4,4,29.83502348,,,1.249991737,0.5,2.413826398,0.2655082666,0.83555066,0.8800030612,,0.608047969,0.5,0.625,0.6100315422,0.4947506535,0.8800044479,,,,,,,,0.734,0.564,,,0.695,0.575
02040814,40.0557666,8.6476794,53.703446,10.0601888,8.69430405,436.71601,3.9224,5,300,4,4,32.00993717,,,1.339606632,0.5,2.896591677,0.2848632896,0.7659491418,0.847264281,,0.6516403811,0.5,0.75,0.6545016247,0.4535378363,0.8472656162,,,,,,,,0.781,0.574,,,0.767,0.594
02040815,45.5271555,9.79265673,60.3198122,11.5913223,9.68231335,370.628765,4.0616,5,400,4,4,36.38231173,,,1.519545404,0.5,3.862122236,0.3237739877,0.6500397924,0.7846805563,,0.7391700833,0.5,1,0.7439028078,0.3849049824,0.7846817928,,,,,,,,0.878,0.599,,,0.910,0.636
02050709,24.8098579,5.43480983,35.2446677,5.89079665,5.81781071,800.926897,3.3707,5,100,4.5,3.5,19.82640853,Keita,,0.8363290971,0.5,0.965530559,0.1764394577,1.404732722,0.9997289591,,0.4068252564,0.5,0.25,0.4053871311,0.831777731,0.9997305345,,,,,,,,0.600,0.576,,,0.487,0.533
02050710,26.7592684,5.84804072,37.6073091,6.41343823,6.1989281,759.675724,3.4604,5,125,4.5,3.5,21.38424933,Keita,,0.9008833093,0.5,1.206913199,0.1903030168,1.332382957,0.9922359429,,0.43822711,0.5,0.3125,0.4372400313,0.7889376076,0.9922375065,,,,,,,,0.628,0.578,,,0.526,0.543
